Rk,Season,Team,W,G,W,L,W/L_perc,MP,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_perc,x2P_perc,x3P_perc,FT_perc,TS_perc,eFG_perc,FG_opp,FGA_opp,x2P_opp,x2PA_opp,x3P_opp,x3PA_opp,FT_opp,FTA_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,FG_perc_opp,x2P_perc_opp,x3P_perc_opp,FT_perc_opp
1,2025-26,Duke,28,30,28,2,0.933,6000,868,1738,596,972,272,766,487,670,355,845,1200,520,237,100,315,472,2495,0.499,0.613,0.355,0.727,0.607,0.578,676,1747,438,951,238,796,286,405,283,606,889,353,190,78,372,548,1876,0.387,0.461,0.299,0.706
2,2025-26,Virginia,26,30,26,4,0.867,6125,842,1826,538,969,304,857,443,621,406,822,1228,502,197,187,324,538,2431,0.461,0.555,0.355,0.713,0.573,0.544,701,1770,499,1114,202,656,440,589,327,654,981,351,193,92,323,539,2044,0.396,0.448,0.308,0.747
3,2025-26,Miami (FL),24,30,24,6,0.8,6000,909,1804,709,1231,200,573,455,673,375,771,1146,492,240,100,347,459,2475,0.504,0.576,0.349,0.676,0.583,0.559,754,1729,508,1027,246,702,346,501,268,620,888,403,207,124,390,541,2100,0.436,0.495,0.35,0.691
4,2025-26,North Carolina,24,30,24,6,0.8,6000,843,1781,587,1034,256,747,471,688,329,821,1150,482,164,101,285,435,2413,0.473,0.568,0.343,0.685,0.572,0.545,788,1895,550,1200,238,695,312,443,320,704,1024,380,167,90,285,556,2126,0.416,0.458,0.342,0.704
5,2025-26,California,21,30,21,9,0.7,6050,777,1751,509,1011,268,740,508,650,271,774,1045,420,181,97,311,560,2330,0.444,0.503,0.362,0.782,0.566,0.52,761,1773,536,1040,225,733,422,645,336,766,1102,425,156,111,349,544,2169,0.429,0.515,0.307,0.654
6,2025-26,Clemson,21,30,21,9,0.7,6050,768,1676,524,959,244,717,450,621,277,765,1042,386,185,82,293,486,2230,0.458,0.546,0.34,0.725,0.566,0.531,676,1638,453,937,223,701,404,540,257,700,957,313,174,101,345,545,1979,0.413,0.483,0.318,0.748
7,2025-26,Louisville,21,30,21,9,0.7,6000,868,1854,512,863,356,991,478,617,349,830,1179,518,212,100,354,557,2570,0.468,0.593,0.359,0.775,0.598,0.564,750,1795,521,1086,229,709,428,601,298,702,1000,359,197,104,361,534,2157,0.418,0.48,0.323,0.712
8,2025-26,NC State,19,30,19,11,0.633,6075,861,1844,550,1028,311,816,473,621,300,751,1051,478,249,100,277,551,2506,0.467,0.535,0.381,0.762,0.586,0.551,773,1741,498,952,275,789,450,651,324,754,1078,385,151,91,393,507,2271,0.444,0.523,0.349,0.691
9,2025-26,SMU,19,30,19,11,0.633,6050,929,1876,682,1222,247,654,452,606,360,769,1129,518,214,111,338,511,2557,0.495,0.558,0.378,0.746,0.591,0.561,805,1861,511,995,294,866,435,601,360,673,1033,493,201,94,371,525,2339,0.433,0.514,0.339,0.724
10,2025-26,Stanford,19,30,19,11,0.633,6000,765,1757,489,977,276,780,477,653,338,677,1015,362,236,109,320,531,2283,0.435,0.501,0.354,0.73,0.552,0.514,743,1631,555,1081,188,550,504,663,278,711,989,322,144,92,377,561,2178,0.456,0.513,0.342,0.76
