Rk,Season,Team,W,G,W,L,W/L_perc,MP,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_perc,x2P_perc,x3P_perc,FT_perc,TS_perc,eFG_perc,FG_opp,FGA_opp,x2P_opp,x2PA_opp,x3P_opp,x3PA_opp,FT_opp,FTA_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,FG_perc_opp,x2P_perc_opp,x3P_perc_opp,FT_perc_opp
1,2025-26,Connecticut,27,30,27,3,0.9,6050,859,1759,602,1055,257,704,386,549,337,754,1091,559,210,164,326,543,2361,0.488,0.571,0.365,0.703,0.584,0.561,652,1637,474,1055,178,582,473,652,306,638,944,314,170,104,366,521,1955,0.398,0.449,0.306,0.725
2,2025-26,St. John's (NY),24,30,24,6,0.8,6025,839,1860,627,1232,212,628,576,791,401,769,1170,491,239,143,316,518,2466,0.451,0.509,0.338,0.728,0.551,0.508,758,1792,558,1173,200,619,406,565,326,709,1035,366,186,117,421,621,2122,0.423,0.476,0.323,0.719
3,2025-26,Villanova,23,30,23,7,0.767,6075,815,1789,527,976,288,813,396,575,352,687,1039,457,229,68,307,484,2314,0.456,0.54,0.354,0.689,0.561,0.536,770,1712,558,1080,212,632,357,502,318,719,1037,411,154,76,382,504,2109,0.45,0.517,0.335,0.711
4,2025-26,Seton Hall,20,30,20,10,0.667,6000,763,1742,616,1268,147,474,443,613,374,698,1072,395,284,172,338,559,2116,0.438,0.486,0.31,0.723,0.52,0.48,629,1572,411,904,218,668,469,659,332,670,1002,364,189,109,438,525,1945,0.4,0.455,0.326,0.712
5,2025-26,DePaul,16,30,16,14,0.533,6000,742,1685,527,1025,215,660,422,608,304,695,999,451,207,100,365,538,2121,0.44,0.514,0.326,0.694,0.537,0.504,720,1655,516,1086,204,569,438,622,301,706,1007,412,222,110,378,525,2082,0.435,0.475,0.359,0.704
6,2025-26,Butler,15,30,15,15,0.5,6100,814,1797,605,1160,209,637,541,758,369,759,1128,463,196,96,338,459,2378,0.453,0.522,0.328,0.714,0.551,0.511,871,1905,636,1193,235,712,342,474,324,703,1027,461,204,141,324,612,2319,0.457,0.533,0.33,0.722
7,2025-26,Creighton,15,31,15,16,0.484,6225,827,1831,520,953,307,878,382,502,293,794,1087,482,181,81,353,440,2343,0.452,0.546,0.35,0.761,0.566,0.535,889,1949,666,1317,223,632,328,467,339,765,1104,449,218,100,302,500,2329,0.456,0.506,0.353,0.702
8,2025-26,Providence,14,30,14,16,0.467,6175,887,1867,618,1110,269,757,530,694,336,830,1166,424,162,122,366,563,2573,0.475,0.557,0.355,0.764,0.586,0.547,884,1993,603,1207,281,786,477,665,373,704,1077,481,230,95,292,563,2526,0.444,0.5,0.358,0.717
9,2025-26,Xavier,14,30,14,16,0.467,6050,846,1903,564,1134,282,769,377,522,301,739,1040,530,196,124,302,535,2351,0.445,0.497,0.367,0.722,0.547,0.519,867,1832,643,1187,224,645,432,620,303,827,1130,550,179,115,336,468,2390,0.473,0.542,0.347,0.697
10,2025-26,Georgetown,13,30,13,17,0.433,6075,767,1749,564,1120,203,629,494,672,341,734,1075,446,195,112,316,547,2231,0.439,0.504,0.323,0.735,0.539,0.497,760,1757,524,1041,236,716,457,628,336,712,1048,411,189,102,325,534,2213,0.433,0.503,0.33,0.728
11,2025-26,Marquette,11,30,11,19,0.367,6075,802,1833,560,1070,242,763,404,598,336,695,1031,460,283,93,342,514,2250,0.438,0.523,0.317,0.676,0.531,0.504,798,1809,559,1092,239,717,439,584,370,786,1156,476,209,106,411,512,2274,0.441,0.512,0.333,0.752
