Rk,Season,Team,W,G,W,L,W/L_perc,MP,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_perc,x2P_perc,x3P_perc,FT_perc,TS_perc,eFG_perc,FG_opp,FGA_opp,x2P_opp,x2PA_opp,x3P_opp,x3PA_opp,FT_opp,FTA_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,FG_perc_opp,x2P_perc_opp,x3P_perc_opp,FT_perc_opp
1,2025-26,Michigan,27,29,27,2,0.931,5829,904,1771,632,1016,272,755,500,678,331,848,1179,557,173,171,349,458,2580,0.51,0.622,0.36,0.737,0.616,0.587,699,1850,468,1069,231,781,364,489,333,580,913,310,187,93,342,574,1993,0.378,0.438,0.296,0.744
2,2025-26,Nebraska,25,30,25,5,0.833,6025,827,1774,510,876,317,898,360,476,266,793,1059,542,217,80,290,432,2331,0.466,0.582,0.353,0.756,0.583,0.556,701,1751,447,893,254,858,314,434,300,740,1040,419,147,84,388,470,1970,0.4,0.501,0.296,0.724
3,2025-26,Michigan State,24,29,24,5,0.828,5850,794,1694,570,1065,224,629,459,606,369,802,1171,532,152,119,334,467,2271,0.469,0.535,0.356,0.757,0.573,0.535,658,1644,416,875,242,769,366,495,232,591,823,373,186,86,292,540,1924,0.4,0.475,0.315,0.739
4,2025-26,Illinois,23,30,23,7,0.767,6075,857,1859,522,908,335,951,485,612,401,831,1232,440,114,143,271,393,2534,0.461,0.575,0.352,0.792,0.589,0.551,776,1902,527,1119,249,783,270,372,303,624,927,402,168,78,235,560,2071,0.408,0.471,0.318,0.726
5,2025-26,Purdue,23,30,23,7,0.767,6025,899,1797,617,1061,282,736,377,508,330,738,1068,590,170,80,275,449,2457,0.5,0.582,0.383,0.742,0.603,0.579,754,1709,496,937,258,772,328,460,259,603,862,422,158,73,318,512,2094,0.441,0.529,0.334,0.713
6,2025-26,Wisconsin,21,30,21,9,0.7,6075,836,1858,495,902,341,956,471,605,316,774,1090,474,170,93,272,514,2484,0.45,0.549,0.357,0.779,0.579,0.542,799,1804,558,1078,241,726,411,564,280,747,1027,396,140,105,308,529,2250,0.443,0.518,0.332,0.729
7,2025-26,Iowa,20,29,20,9,0.69,5800,772,1560,545,921,227,639,424,547,260,605,865,439,205,61,275,513,2195,0.495,0.592,0.355,0.775,0.603,0.568,650,1428,465,873,185,555,401,547,235,584,819,325,142,78,386,518,1886,0.455,0.533,0.333,0.733
8,2025-26,UCLA,20,30,20,10,0.667,6075,822,1754,586,1129,236,625,448,585,301,668,969,480,192,90,272,518,2328,0.469,0.519,0.378,0.766,0.573,0.536,725,1671,489,916,236,755,444,592,321,667,988,440,148,87,368,540,2130,0.434,0.534,0.313,0.75
9,2025-26,Ohio State,19,30,19,11,0.633,6075,835,1696,593,1023,242,673,491,637,288,732,1020,434,146,73,313,537,2403,0.492,0.58,0.36,0.771,0.601,0.564,759,1748,537,1039,222,709,444,601,320,630,950,397,163,89,319,571,2184,0.434,0.517,0.313,0.739
10,2025-26,Indiana,18,30,18,12,0.6,6075,801,1697,498,826,303,871,457,584,251,735,986,506,139,83,302,549,2362,0.472,0.603,0.348,0.783,0.598,0.561,731,1729,525,1093,206,636,476,632,308,677,985,358,164,86,309,520,2144,0.423,0.48,0.324,0.753
