Rk,Season,Team,W,G,W,L,W/L_perc,MP,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_perc,x2P_perc,x3P_perc,FT_perc,TS_perc,eFG_perc,FG_opp,FGA_opp,x2P_opp,x2PA_opp,x3P_opp,x3PA_opp,FT_opp,FTA_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,FG_perc_opp,x2P_perc_opp,x3P_perc_opp,FT_perc_opp
1,2025-26,Florida,24,30,24,6,0.8,6000,940,1949,713,1215,227,734,528,742,480,890,1370,505,200,152,352,531,2635,0.482,0.587,0.309,0.712,0.572,0.541,750,1845,552,1229,198,616,447,625,289,638,927,321,195,85,339,586,2145,0.407,0.449,0.321,0.715
2,2025-26,Vanderbilt,23,30,23,7,0.767,6050,886,1856,595,1029,291,827,546,700,326,753,1079,499,248,145,288,587,2609,0.477,0.578,0.352,0.78,0.596,0.556,739,1743,526,1070,213,673,556,731,320,709,1029,335,156,69,390,575,2247,0.424,0.492,0.316,0.761
3,2025-26,Alabama,22,30,22,8,0.733,6050,903,1975,514,900,389,1075,565,733,364,858,1222,490,195,152,300,560,2760,0.457,0.571,0.362,0.771,0.594,0.556,894,2079,651,1348,243,731,476,686,425,785,1210,417,197,109,282,598,2507,0.43,0.483,0.332,0.694
4,2025-26,Arkansas,22,30,22,8,0.733,6050,968,1924,722,1276,246,648,527,704,328,744,1072,516,219,156,269,514,2709,0.503,0.566,0.38,0.749,0.6,0.567,866,1910,632,1169,234,741,429,608,347,694,1041,441,147,84,353,541,2395,0.453,0.541,0.316,0.706
5,2025-26,Georgia,21,30,21,9,0.7,6100,933,1969,645,1115,288,854,546,724,392,758,1150,447,246,190,317,516,2700,0.474,0.578,0.337,0.754,0.584,0.547,842,1946,598,1211,244,735,433,606,416,715,1131,403,207,105,409,568,2361,0.433,0.494,0.332,0.715
6,2025-26,Tennessee,21,30,21,9,0.7,6075,856,1832,656,1246,200,586,488,702,478,802,1280,516,229,103,359,530,2400,0.467,0.526,0.341,0.695,0.554,0.522,704,1726,466,948,238,778,420,608,303,575,878,323,220,119,334,562,2066,0.408,0.492,0.306,0.691
7,2025-26,Missouri,20,30,20,10,0.667,6025,838,1705,619,1081,219,624,498,727,350,720,1070,431,200,105,368,526,2393,0.491,0.573,0.351,0.685,0.584,0.556,754,1746,474,978,280,768,457,610,331,629,960,391,193,100,345,553,2245,0.432,0.485,0.365,0.749
8,2025-26,Texas A&M,20,30,20,10,0.667,6075,892,1921,564,1029,328,892,538,725,362,763,1125,558,238,97,327,585,2650,0.464,0.548,0.368,0.742,0.585,0.55,816,1849,571,1083,245,766,495,659,361,751,1112,461,197,115,405,565,2372,0.441,0.527,0.32,0.751
9,2025-26,Kentucky,19,30,19,11,0.633,6000,849,1813,599,1096,250,717,493,684,366,780,1146,485,213,130,322,541,2441,0.468,0.547,0.349,0.721,0.571,0.537,749,1778,518,1052,231,726,472,637,321,689,1010,421,201,93,324,543,2201,0.421,0.492,0.318,0.741
10,2025-26,Texas,18,30,18,12,0.6,6025,861,1747,641,1126,220,621,588,789,367,768,1135,368,178,87,328,565,2530,0.493,0.569,0.354,0.745,0.596,0.556,780,1739,565,1149,215,590,519,707,277,618,895,359,195,110,289,643,2294,0.449,0.492,0.364,0.734
11,2025-26,Auburn,16,30,16,14,0.533,6050,827,1797,591,1100,236,697,615,824,406,685,1091,384,229,127,306,520,2505,0.46,0.537,0.339,0.746,0.572,0.526,825,1777,557,1059,268,718,473,622,320,653,973,430,201,134,350,607,2391,0.464,0.526,0.373,0.76
12,2025-26,Oklahoma,16,30,16,14,0.533,6025,849,1810,548,1001,301,809,478,644,348,719,1067,422,188,113,305,525,2477,0.469,0.547,0.372,0.742,0.585,0.552,810,1805,568,1101,242,704,455,615,357,686,1043,410,172,105,319,526,2317,0.449,0.516,0.344,0.74
13,2025-26,Louisiana State,15,30,15,15,0.5,6100,834,1770,630,1162,204,608,561,729,335,756,1091,443,181,116,321,558,2433,0.471,0.542,0.336,0.77,0.575,0.529,803,1812,556,1124,247,688,478,686,352,673,1025,376,193,96,299,571,2331,0.443,0.495,0.359,0.697
14,2025-26,Mississippi State,13,30,13,17,0.433,6075,844,1887,597,1124,247,763,392,590,345,808,1153,384,174,133,345,484,2327,0.447,0.531,0.324,0.664,0.537,0.513,860,1948,610,1188,250,760,467,622,361,801,1162,444,199,127,276,506,2437,0.441,0.513,0.329,0.751
15,2025-26,Ole Miss,12,30,12,18,0.4,6100,796,1798,575,1139,221,659,460,614,310,715,1025,417,207,127,293,582,2273,0.443,0.505,0.335,0.749,0.544,0.504,762,1733,511,998,251,735,515,717,355,754,1109,443,179,90,350,537,2290,0.44,0.512,0.341,0.718
16,2025-26,South Carolina,12,30,12,18,0.4,6075,758,1740,522,974,236,766,508,646,272,702,974,399,169,71,295,528,2260,0.436,0.536,0.308,0.786,0.552,0.503,828,1816,621,1167,207,649,437,614,341,750,1091,472,187,107,304,524,2300,0.456,0.532,0.319,0.712
