Rk,Season,Team,W,G,W,L,W/L%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
1,2025-26,Duke,21,23,21,2,0.913,529,1346,343,749,186,597,226,312,217,472,689,273,154,52,303,434,1470,0.393,0.458,0.312,0.724
2,2025-26,Clemson,20,24,20,4,0.833,525,1315,365,773,160,542,329,445,214,549,763,238,139,84,282,447,1539,0.399,0.472,0.295,0.739
3,2025-26,Virginia,20,23,20,3,0.87,533,1340,385,850,148,490,347,478,257,491,748,262,143,69,256,423,1561,0.398,0.453,0.302,0.726
4,2025-26,North Carolina,19,23,19,4,0.826,594,1466,408,922,186,544,247,352,252,528,780,294,127,64,222,432,1621,0.405,0.443,0.342,0.702
5,2025-26,Louisville,18,24,18,6,0.75,585,1447,390,859,195,588,337,477,247,566,813,282,155,78,296,451,1702,0.404,0.454,0.332,0.706
6,2025-26,Miami (FL),18,23,18,5,0.783,572,1333,384,800,188,533,278,416,211,474,685,304,161,89,305,432,1610,0.429,0.48,0.353,0.668
7,2025-26,NC State,18,25,18,7,0.72,628,1438,396,778,232,660,369,537,253,621,874,312,131,71,341,431,1857,0.437,0.509,0.352,0.687
8,2025-26,California,17,24,17,7,0.708,603,1420,421,826,182,594,327,492,268,603,871,342,115,85,271,450,1715,0.425,0.51,0.306,0.665
9,2025-26,SMU,16,23,16,7,0.696,615,1434,401,769,214,665,335,469,277,518,795,377,158,66,294,418,1779,0.429,0.521,0.322,0.714
10,2025-26,Virginia Tech,16,24,16,8,0.667,651,1482,472,885,179,597,304,409,285,582,867,313,133,81,312,460,1785,0.439,0.533,0.3,0.743
11,2025-26,Stanford,15,24,15,9,0.625,603,1309,457,881,146,428,402,537,223,573,796,264,121,77,314,461,1754,0.461,0.519,0.341,0.749
12,2025-26,Syracuse,13,24,13,11,0.542,596,1405,438,914,158,491,348,480,288,586,874,321,164,71,311,443,1698,0.424,0.479,0.322,0.725
13,2025-26,Florida State,11,23,11,12,0.478,633,1405,424,787,209,618,355,489,272,623,895,354,172,91,334,420,1830,0.451,0.539,0.338,0.726
14,2025-26,Georgia Tech,11,24,11,13,0.458,622,1508,414,851,208,657,360,514,279,589,868,342,189,103,265,423,1812,0.412,0.486,0.317,0.7
15,2025-26,Notre Dame,11,24,11,13,0.458,595,1385,389,739,206,646,350,472,217,575,792,324,138,68,223,433,1746,0.43,0.526,0.319,0.742
16,2025-26,Wake Forest,11,23,11,12,0.478,602,1347,396,709,206,638,385,518,260,563,823,362,162,63,331,418,1795,0.447,0.559,0.323,0.743
17,2025-26,Boston College,9,23,9,14,0.391,565,1353,420,866,145,487,302,465,251,629,880,268,140,82,239,396,1577,0.418,0.485,0.298,0.649
18,2025-26,Pittsburgh,9,24,9,15,0.375,597,1308,413,786,184,522,339,443,215,561,776,316,148,70,261,387,1717,0.456,0.525,0.352,0.765
