Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Florida,1,2025-04-07 NCAA,65,Houston,1,W 65-63,National Final,West,200,21,53,0.396,15,29,0.517,6,24,0.25,17,21,0.81,65,24,69,0.348,18,44,0.409,6,25,0.24,9,14,0.643,63
Houston,1,2025-04-07 NCAA,63,Florida,1,L 63-65,National Final,Midwest,200,24,69,0.348,18,44,0.409,6,25,0.24,9,14,0.643,63,21,53,0.396,15,29,0.517,6,24,0.25,17,21,0.81,65
Florida,1,2025-04-05 NCAA,79,Auburn,1,W 79-73,National Semi,West,200,25,53,0.472,17,32,0.531,8,21,0.381,21,30,0.7,79,25,57,0.439,18,32,0.563,7,25,0.28,16,23,0.696,73
Auburn,1,2025-04-05 NCAA,73,Florida,1,L 73-79,National Semi,South,200,25,57,0.439,18,32,0.563,7,25,0.28,16,23,0.696,73,25,53,0.472,17,32,0.531,8,21,0.381,21,30,0.7,79
Houston,1,2025-04-05 NCAA,70,Duke,1,W 70-67,National Semi,Midwest,200,23,61,0.377,13,39,0.333,10,22,0.455,14,18,0.778,70,21,53,0.396,14,36,0.389,7,17,0.412,18,23,0.783,67
Duke,1,2025-04-05 NCAA,67,Houston,1,L 67-70,National Semi,East,200,21,53,0.396,14,36,0.389,7,17,0.412,18,23,0.783,67,23,61,0.377,13,39,0.333,10,22,0.455,14,18,0.778,70
UConn,1,2024-04-08 NCAA,75,Purdue,1,W 75-60,National Final,East,200,30,62,0.484,24,40,0.6,6,22,0.273,9,11,0.818,75,24,54,0.444,23,47,0.489,1,7,0.143,11,15,0.733,60
Purdue,1,2024-04-08 NCAA,60,UConn,1,L 60-75,National Final,Midwest,200,24,54,0.444,23,47,0.489,1,7,0.143,11,15,0.733,60,30,62,0.484,24,40,0.6,6,22,0.273,9,11,0.818,75
UConn,1,2024-04-06 NCAA,86,Alabama,4,W 86-72,National Semi,East,200,31,62,0.5,21,37,0.568,10,25,0.4,14,18,0.778,86,26,58,0.448,15,35,0.429,11,23,0.478,9,11,0.818,72
Alabama,4,2024-04-06 NCAA,72,UConn,1,L 72-86,National Semi,West,200,26,58,0.448,15,35,0.429,11,23,0.478,9,11,0.818,72,31,62,0.5,21,37,0.568,10,25,0.4,14,18,0.778,86
