Rk,Season,Team,W...4,G,W...6,L,W/L_perc,MP,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_perc,x2P_perc,x3P_perc,FT_perc,TS_perc,eFG_perc,FG_opp,FGA_opp,x2P_opp,x2PA_opp,x3P_opp,x3PA_opp,FT_opp,FTA_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,FG_perc_opp,x2P_perc_opp,x3P_perc_opp,FT_perc_opp,avg_dreb_pg,avg_oreb_pg,avg_ppg,avg_TOV_pg,off_efficiency,def_efficiency,conference
1,2025-26,Arizona,28,30,28,2,0.933,6025,920,1838,744,1339,176,499,582,787,392,905,1297,517,242,128,331,483,2598,0.501,0.556,0.353,0.74,0.587,0.548,726,1872,509,1175,217,697,378,532,321,621,942,357,181,116,368,589,2047,0.388,0.433,0.311,0.711,30.166666666666668,13.066666666666666,86.6,11.033333333333333,1.2235786142195093,0.9640744508496288,Big 12
2,2025-26,Houston,25,30,25,5,0.833,6025,836,1861,572,1089,264,772,389,502,389,709,1098,447,236,115,248,541,2325,0.449,0.525,0.342,0.775,0.554,0.52,626,1554,424,911,202,643,416,610,316,685,1001,344,140,71,421,480,1870,0.403,0.465,0.314,0.682,23.633333333333333,12.966666666666667,77.5,8.266666666666667,1.197910226289106,0.96348048307984,Big 12
3,2025-26,Iowa State,24,30,24,6,0.8,6000,880,1795,615,1104,265,691,424,627,355,713,1068,522,263,86,311,480,2449,0.49,0.557,0.384,0.676,0.585,0.564,708,1658,477,948,231,710,326,459,285,646,931,384,202,106,451,506,1973,0.427,0.503,0.325,0.71,23.766666666666666,11.833333333333334,81.63333333333334,10.366666666666667,1.2082609725292073,0.9734172718661193,Big 12
4,2025-26,Texas Tech,22,30,22,8,0.733,6025,867,1839,523,965,344,874,366,511,351,768,1119,482,178,116,327,491,2444,0.471,0.542,0.394,0.716,0.587,0.565,784,1798,585,1167,199,631,400,575,323,687,1010,328,183,71,308,489,2167,0.436,0.501,0.315,0.696,25.6,11.7,81.46666666666667,10.9,1.198133186916621,1.0623382226056945,Big 12
5,2025-26,Kansas,21,30,21,9,0.7,6050,805,1762,584,1133,221,629,436,565,296,863,1159,432,165,176,322,431,2267,0.457,0.515,0.351,0.772,0.558,0.52,733,1904,491,1092,242,812,355,520,380,718,1098,359,201,94,287,470,2063,0.385,0.45,0.298,0.683,28.766666666666666,9.866666666666667,75.56666666666666,10.733333333333333,1.1131297260139448,1.0129627811057647,Big 12
6,2025-26,Brigham Young,20,30,20,10,0.667,6025,890,1862,627,1112,263,750,489,657,362,794,1156,417,219,137,324,472,2532,0.478,0.564,0.351,0.744,0.582,0.549,821,1862,572,1139,249,723,382,535,321,711,1032,456,187,88,336,557,2273,0.441,0.502,0.344,0.714,26.466666666666665,12.066666666666666,84.4,10.8,1.1982508944289851,1.0756809964601435,Big 12
7,2025-26,UCF,20,29,20,9,0.69,5825,868,1817,626,1184,242,633,426,566,350,714,1064,476,164,89,327,502,2404,0.478,0.529,0.382,0.753,0.576,0.544,802,1746,568,1054,234,692,450,603,288,661,949,413,174,101,326,500,2288,0.459,0.539,0.338,0.746,24.620689655172413,12.068965517241379,82.89655172413794,11.275862068965518,1.1766778917691283,1.1198997572245282,Big 12
8,2025-26,TCU,20,30,20,10,0.667,6075,811,1810,590,1143,221,667,500,708,368,717,1085,469,239,137,334,490,2343,0.448,0.516,0.331,0.706,0.546,0.509,777,1741,551,1076,226,665,369,523,286,706,992,482,189,113,420,577,2149,0.446,0.512,0.34,0.706,23.9,12.266666666666667,78.1,11.133333333333333,1.1223844561968268,1.0294512148386603,Big 12
9,2025-26,Oklahoma State,18,30,18,12,0.6,6075,870,1888,637,1208,233,680,553,748,338,801,1139,447,222,80,368,522,2526,0.461,0.527,0.343,0.739,0.563,0.523,864,1926,572,1098,292,828,456,637,349,767,1116,498,210,122,371,561,2476,0.449,0.521,0.353,0.716,26.7,11.266666666666667,84.2,12.266666666666667,1.1241055217344869,1.1018548186122683,Big 12
10,2025-26,Cincinnati,17,30,17,13,0.567,6000,789,1822,526,1030,263,792,371,545,335,773,1108,500,197,121,344,476,2212,0.433,0.511,0.332,0.681,0.532,0.505,717,1727,493,1024,224,703,367,517,285,755,1040,390,171,71,393,489,2025,0.415,0.481,0.319,0.71,25.766666666666666,11.166666666666666,73.73333333333333,11.466666666666667,1.0681862082287037,0.9778829437898396,Big 12
